Brand,Variety,Style,Country,Stars
Samyang,Hot,Pack,South Korea,3.5
JML,Hot & Sour Beef Noodles,Pack,China,4
Baijia,Hot & Sour Casserole Stewed Rice Noodle,Pack,China,0
Mama,Hot & Spicy,Pack,Thailand,1.75
Trident,Hot & Spicy 2 Minute Noodles,Pack,Australia,3.5
Fu Chang Chinese Noodle Company,Hot & Spicy Beef,Tray,USA,4
CarJEN,Hot & Spicy Dry Curry With Chives Soup,Pack,Malaysia,5
Azami,Hot & Spicy Flavour Noodle Soup,Bowl,Canada,3.5
Four Seas,Hot & Spicy Instant Noodle (Mushroom & Beef Flavour),Pack,Hong Kong,4
Ottogi,Hot & Spicy Ramen,Cup,South Korea,3
Shirakiku,Hot & Spicy Udon,Pack,USA,3
Samyang,Hot Beef,Pack,South Korea,4.25
Samyang Foods,Hot Chacharoni,Pack,South Korea,3.75
Maggi,Hot Cup Goreng Perencah Cili Fiesta,Cup,Malaysia,4.75
Nan Jie Cun,Hot -Dry Instant Noodles Chilli Flavour,Tray,China,0.5
Ching's Secret,Hot Garlic Instant Noodles,Pack,India,4.25
Maggi,Hot Heads Green Chilli Noodles,Pack,India,3.5
Ve Wong,Hot Of Hots Artificial Black Peppered Beef,Bowl,Taiwan,1.25
Gau Do,Hot Sour Shrimp,Pack,Vietnam,3.75
Ohsung,Hot Spicy Bowl With Soy Peptide,Bowl,South Korea,3.5
Sapporo Ichiban,Hot Spicy Chicken,Pack,USA,2
Sichuan Baijia,Hot spicy Flavor Instant Vermicelli,Bowl,China,3.5
Migawon,Hovenia Ramen Vegetable Flavor,Pack,South Korea,3.5
Tseng Noodles,Hu Sesame Flavor,Pack,Taiwan,5
Vifon,Hu Tieu Bo Kho An Lien Beef,Pack,Vietnam,3.75
ChoripDong,Hurricane Rice Cake (Topokki),Bowl,South Korea,5
Paldo,Hwa Cup Hot Spicy,Cup,South Korea,3.5
Myojo,Hyobanya No Yakisoba Sauce Flavor,Tray,Japan,4.75
Maruchan,I Want To Eat Ramen Miso Flavor,Pack,Japan,3.75
Tradition,Imitation Beef,Cup,USA,2.5
Gefen,Imitation Chicken Flavor,Cup,USA,4
Tradition,Imitation Chicken Vegetarian,Cup,USA,3.75
Sawadee,Indian Curry Flavour,Pack,UK,3
Ve Wong,Instant Bean Thread Seafood,Bowl,Taiwan,2.5
Unif / Tung-I,Instant Bean Vermicelli Shrimp,Pack,Taiwan,1.5
Mama,Instant Bowl Noodles Artificial Pork,Bowl,Thailand,2.75
Lucky Me!,Instant Bulalo Bone Marrow,Pack,Philippines,3.75
Mi Sedaap,Instant Cup Mi Goreng,Cup,Indonesia,3.75
Mie Sedaap,Instant Cup Mi Kuah Rasa Baso Spesial,Cup,Indonesia,1.5
Mi Sedaap,Instant Cup Mi Kuah Rasa Soto,Cup,Indonesia,5
Indomie,Instant Cup Noodles Mi Goreng Fried Noodles,Cup,Indonesia,5
Mama,Instant Cup Noodles Minced Prok Flavor,Cup,Thailand,3.5
Yum Yum,Instant Flat Shaped Noodles Boat Noodles Nam Tok Flavour,Pack,Thailand,3.5
Doll,Instant Fried Noodles With Chili Sauce,Tray,Hong Kong,3
The Kitchen Food,Instant Kampua Dark Soy Sauce,Pack,Sarawak,5
Pama,Instant Kua Teow Tom Yam,Cup,Malaysia,3.75
Maruchan,Instant Lunch Cajun Style With chili Piquin Shrimp,Cup,USA,3
Payless,Instant Mami Beef,Pack,Philippines,3.25
Chering Chang,Instant Non-Fried Noodles Shallot Pork Flavour,Pack,Taiwan,5
JML,Instant Noodle Artificial Beef Flavor 7 sour Pickled Cabbage,Pack,China,4
Indomie,Instant Noodle Beef & Lime Flavour,Pack,Indonesia,4.25
A-Sha Dry Noodle,Instant Noodle Curry Flavour,Pack,Taiwan,4.25
Sau Tao,Instant Noodle King Abalone & Chicken Flavoured,Pack,Hong Kong,3.5
A-Sha Dry Noodle,Instant Noodle Original Flavor,Pack,Taiwan,3.75
Doll,Instant Noodle Preserved Vegetable Flavour,Pack,Hong Kong,4
A-Sha Dry Noodle,Instant Noodle Shallot Flavor,Pack,Taiwan,3.75
Zow Zow,Instant Noodle Shrimp Tom Yam Flavoured,Pack,Thailand,3.75
Mama,Instant Noodle Shrimp Tom Yum Flavour Jumbo Pack,Pack,Thailand,4
Doll,Instant Noodle Supreme Abalone And Chicken Flavour,Pack,Hong Kong,2
Hi-Myon,Instant Noodle Udon Hot & Spicy,Pack,South Korea,4
Doll,Instant Noodle Vegetarian Flavour,Pack,Hong Kong,3.75
Chaudhary's Wai Wai,Instant Noodles Artificial Chicken & Shrimp Flavored,Pack,India,2.5
Wai Wai,Instant Noodles Artificial Chicken Flavoured,Pack,India,2
Unif-100,Instant Noodles Artificial Shallot Beef Flavour,Pack,China,4.25
Ko-Lee,Instant Noodles Beef,Pack,UK,3
Bonasia,Instant Noodles Beef Flavour,Pack,Germany,3.75
Yum-Mie,Instant Noodles Beef In Light Soup Flavour,Pack,Ghana,3.5
Super,Instant Noodles Black Pepper Crab Mi Goreng,Cup,Malaysia,3.5
Ko-Lee,Instant Noodles Chicken ,Pack,UK,3.5
Bonasia,Instant Noodles chicken Flavour,Pack,Hungary,3.75
Mama,Instant Noodles chicken Green Curry Flavour,Pack,Cambodia,5
KOKA,Instant Noodles Chicken Satay Flavour,Pack,Singapore,3.5
MAMA,Instant Noodles Chicken Sichek Flavour,Pack,Myanmar,3.75
Tesco,Instant Noodles Chow Mein Flavour,Pack,UK,2.25
MAMA,Instant Noodles Coconut Milk Flavour,Pack,Myanmar,5
iMee,Instant Noodles Creamy Tom Yum Shrimp Flavour,Pack,Netherlands,4.5
Mama,Instant Noodles Cup Beef Flavour,Cup,Thailand,3.5
Mamee,Instant Noodles Curry Flavour,Pack,Malaysia,3.5
Asia Gold,Instant Noodles Duck Flavour,Pack,Hungary,3.5
Mama,Instant Noodles Egg Protein Noodles,Pack,Myanmar,3.5
Western Family,Instant Noodles In A Cup Chicken Flavour,Cup,Canada,1.5
KOKA,Instant Noodles Laksa Singapura Flavour,Pack,Singapore,5
Morre,Instant Noodles Masala,Pack,Pakistan,4
Super,Instant Noodles Mee Goreng,Cup,Malaysia,3.75
Singa-Me,Instant Noodles Mi Goreng Flavour,Cup,Australia,4
Yum Yum,Instant Noodles Minced Pork Flavor,Pack,Thailand,3.75
MAMA,Instant Noodles Minced Pork Flavour,Pack,Cambodia,3.5
Ko-Lee,Instant Noodles Mixed Vegetable,Pack,UK,3.5
Nissin,Instant Noodles Moo Manao Flavour,Pack,Thailand,4
Mama,Instant Noodles Moo Nam Tok Flavour,Pack,Thailand,4
Bamee,Instant Noodles Oriental Style Chicken Flavour,Pack,Thailand,3
Mama,Instant Noodles Pork Flavour With Black Pepper,Pack,Thailand,3.5
Sawadee,Instant Noodles Prawn Oriental Flavour,Pack,Malaysia,2.5
Thai Choice,Instant Noodles Seafood Flavour,Cup,Thailand,4
MAMA,Instant Noodles Shrimp Creamy Tom Yum Flavour,Pack,Myanmar,5
Bonasia,Instant Noodles Shrimp Flavour,Pack,Hungary,3.5
Little Cook,Instant Noodles Shrimp Tom Yum Flavour,Cup,Thailand,4.25
Katoz,Instant Noodles Spicy Chili,Pack,Sweden,3.5
Sawadee,Instant Noodles Spicy Tomato Flavour,Pack,Malaysia,2.5
Mama,Instant Noodles Stewed Beef Flavour,Pack,Cambodia,3.5
Ko-Lee,Instant Noodles Super Chow Mein,Pack,UK,4
Mama,Instant Noodles Tom Saab Flavour,Pack,Thailand,3.5
Ruski,Instant Noodles Tom Yum Flavour,Pack,Thailand,3.5
Mama,Instant Noodles Tom Yum Pork Flavour,Pack,Thailand,4
Nissin,Instant Noodles Tom Yum Shrimp Saab Flavour,Pack,Thailand,4
Wai Wai,Instant Noodles Veg Masala Flavour,Pack,India,4
Sawadee,Instant Noodles Vegetable & Mushroom Flavour,Pack,UK,1.5
iMee,Instant Noodles Vegetable Flavour,Pack,Netherlands,2.75
Mamee,Instant Noodles Vegetarian Flavour,Pack,Malaysia,3.75
Baltix,Instant Noodles With Beef Flavour Broth,Pack,Estonia,3.25
Asia Gold,Instant Noodles With Beef Flavouring,Pack,Hungary,2.75
Vit's,Instant Noodles With Chicken Flavour,Pack,Malaysia,3.75
Baltix,Instant Noodles With Chicken Flavour Broth,Pack,Estonia,3.75
Asia Gold,Instant Noodles With Chicken Flavouring,Pack,Hungary,3.5
Wei Lih,Instant Noodles With Onion Flavour,Pack,Taiwan,4.25
Doll,Instant Noodles With Sesame Oil & Soup Base,Pack,Hong Kong,1
Asia Gold,Instant Noodles With Shrimp Flavouring,Pack,Hungary,4
Six Fortune,Instant Noodles With Soup,Pack,South Korea,3.5
United,Instant Noodles Xi Gon Artificial Stewed Beef Flavor,Pack,Vietnam,3.25
Mama,Instant Noodles Yentafo Tom Yum Mohfai Flavour,Pack,Thailand,5
Thai Chef,Instant Nudelsuppe Huhn Geschmack,Pack,Germany,3
Hao Way,Instant Penang White Curry Noodles,Pack,Malaysia,4.5
Vifon,Instant Porridge Chicken,Pack,Vietnam,3.25
Kin-Dee,Instant Rice Noodle Pad Thai,Tray,Thailand,3.75
Mama,Instant Rice Noodle Soup Spicy Shrimp Flavour,Bowl,Thailand,5
Kin-Dee,Instant Rice Noodle Spicy Seafood,Tray,Thailand,3.75
MAMA,Instant Rice Noodles Chicken Flavour,Pack,Thailand,4
Pama,Instant Rice Vermicelli Clear Soup Flavour,Pack,Malaysia,3.5
Wai Wai,Instant Rice Vermicelli Crab Flavour,Pack,Thailand,3.5
Chewy,Instant Rice Vermicelli Original Flavour,Pack,Hong Kong,0.5
MAMA,Instant Rice Vermicelli Yentafo Tom Yam Mohfai,Pack,Thailand,5
Liu Quan,Instant Spicy Rice Noodle,Bowl,China,4
MAMA,Instant Tom Yam Rice Noodles,Pack,Thailand,4
Unif Tung-I,Instant Vegetarian Beehoon Rice Vermicelli,Pack,Taiwan,1
Mamee,Instant Vermicelli Chicken Flavour,Pack,Malaysia,3.25
Kamfen,Instant Wonton Noodles Scallop Lobster Soup Flavour,Bowl,Hong Kong,4.3
Myojo,Ippei-Chan Jumbo Night Market Style Yakisoba,Tray,Japan,4.5
Sarimi,Isi 2 Mi Goreng Rasa Ayam Kecap,Pack,Indonesia,4.5
Koh Thai,Island Of Flavours Lemongrass Instant Noodles Soup,Pack,Netherlands,0.25
Lucky Me!,Itnok,Pack,Philippines,3
Lotus Foods,Jade Pearl Rice Ramen,Pack,USA,3.25
Wei Lih,Jah Jan Men,Bowl,Taiwan,5
Pot Noodle,Jamaican Jerk!,Cup,UK,2.75
Acecook,Jan Jan Dashi Shoyu Yakisoba,Cup,Japan,2.25
Kim Ve Wong,Jaopai Series: Vegetarian Instant Noodles,Bowl,Taiwan,0
Chewy,Japanese Fried Ramen Noodles Kyoto Barbecue Sauce Flavour,Pack,Hong Kong,1.75
Mr. Udon,Japanese Miso,Pack,South Korea,2.75
Knorr,Japanese Pork Bone Flavour Quick Serve Macaroni,Pack,Hong Kong,3
Nissin,Japanese Ramen Kyushu Black Instant Noodles With Soup Base,Pack,Singapore,5
One Dish Asia,Japanese Ramen Noodle,Bowl,USA,0
Nissin,Japanese Ramen Tokyo Shoyu Instant Noodles With Soup Base,Pack,Singapore,5
Samyang,Japanese Seafood Flavor Udon,Pack,South Korea,3.75
JFC,Japanese Style Noodle Curry,Bowl,Japan,4.5
Myojo,Japanese Style Noodles Shio Flavor,Pack,USA,5
Shirakiku,Japanese Style Tokusen Karami,Pack,Japan,3
Kamfen,Japanese U-Don Lobster Scallop,Pack,China,3
Menraku,Japanese Yakisoba Umami Sauce,Bowl,Japan,5
Ottogi,Japchae Vermicelli Noodle,Pack,South Korea,2.75
Tokachimen Koubou,Jet Black Sesame Oil Pork Tonkotsu,Bowl,Japan,2.25
Ottogi,Jiajang Noodle,Pack,South Korea,3.75
Nongshim,Jinjja Jinjja,Pack,South Korea,5
Ottogi,Jjajang Bokki,Bowl,South Korea,3.5
Paldo,Jjajangmen Black Bean,Pack,South Korea,4
Chorip Dong,Jjambbong Hot Spicy Seafood,Bowl,South Korea,4.25
Samyang Foods,Jjamppong Big Bowl,Bowl,South Korea,4.5
Paldo,Jjamppong Seafood Noodle King Bowl,Bowl,South Korea,5
Mama,Jok Cup Porridge Artificial Pork,Cup,Thailand,2.5
Asian Thai Foods,Joker Ready To Eat Noodles,Pack,Nepal,3.25
Paldo,Jong-Gah-Jip Kimchi Ramen,Pack,South Korea,4
Yum Yum,Jumbo Instant Noodles Tom Yum Kung Creamy Flavour,Pack,Thailand,5
Prima,Juzz's Mee Creamy Chicken Flavour,Pack,Singapore,5
Acecook,Kadomen Koikoku Tonkotsu,Bowl,Japan,3.8
Myojo,Kakesoba Desse Soy Sauce,Bowl,Japan,2.75
Samyang,Kalgug-Su (Spicy),Pack,South Korea,3.5
Nongshim,Kalguksoo,Pack,South Korea,4.5
Maruchan,Kaoru Maitake Tempura Udon,Bowl,Japan,3.25
Shirakiku,Karami Ramen Spicy Chili Flavour Japanese Style Noodle With Soup Base,Pack,USA,2
Nissin,Karashi Mayo Yakisoba,Tray,Japan,4.75
Daddy,Kari 365 Curry Flavour,Pack,Malaysia,5
Mi Sedaap,Kari Spesial,Pack,Indonesia,4.5
Daifuku,Katsuo Bowl Udon,Bowl,USA,5
Takamori Kosan,Katsuo Dashi Udon,Pack,Japan,3.75
Hi-Myon,Katsuo Udon,Pack,South Korea,4
CJ CheilJedang,Katsuobushi Udon,Bowl,South Korea,3.75
O Sung,Keopnurungji Rice Snack,Cup,South Korea,2.5
Azami,Kimchee Flavour Noodle Soup,Pack,Canada,0
Mama,Kimchi,Pack,Thailand,3
Mr. Noodles,Kimchi Bowl Noodles Oriental Noodle With Soup Base,Bowl,Canada,2.75
Nissin,Kimchi Chikin Ramen Donburi,Bowl,Japan,5
Nongshim,Kimchi Flavor Noodle Soup,Cup,USA,5
New Touch,Kimchi Noodle,Bowl,Japan,3.5
Long Kow,Kimchi Pickle Bean Vermicelli,Pack,Taiwan,1.5
Nongshim,Kimchi Ramyun,Pack,South Korea,3.5
Samyang Foods,Kimchi Ramyun (SK Version),Pack,South Korea,4
Tokushima Seifun,Kinchan Ramen,Pack,Japan,4.5
Paldo,King Bowl Super Spicy Pan Stirfried Noodle,Bowl,South Korea,5
Vina Acecook,King Chef Authentic Kimchi Flavour,Pack,Vietnam,4
Paldo,King Cup Kimchi Pot Stew,Cup,South Korea,4
Nissin,King Cup Noodle BBQ Chicken & Onion,Cup,Japan,3.75
Vina Acecook,Kingcook Beef,Pack,Vietnam,3
Ogasawara,Kirin Giraffe Shio Ramen,Pack,Japan,5
Ottogi,Kiss Myon,Cup,South Korea,3.75
Daikoku,Kitsune Udon,Cup,Japan,2
Nissin,Kitsune Udon Donbei (West),Bowl,Japan,5
Paldo,Kko Kko Myun,Pack,South Korea,5
Sura,Knife Cut Rice Noodle,Bowl,South Korea,3.75
Marutai,Kogashi Megiiri Tonkotsu Kagoshima Ramen,Bowl,Japan,3.5
Paldo,Kokomen Spicy Chicken,Cup,South Korea,4.5
Nongshim,Korean Clay Pot Ramyun,Bowl,China,2.5
Nissin,Korean Kimchi Flavour Vermicelli,Cup,Hong Kong,4
Golden Wheat,Korean Style Mushroom Chicken Flavour Cooking Noodle,Pack,China,2
Paldo,Korean Traditional Beef Gomtangmen,Pack,South Korea,5
Paldo Vina,Koreno Premium Ginseng Flavor,Pack,Vietnam,3
Indomie,Kriuuk Bawang,Pack,Indonesia,4.25
Asian Thai Foods,Krrish Instant Noodles Chicken Flavor,Pack,Nepal,3.5
Pama,Kua Teaw Segera,Pack,Malaysia,4
Super Bihun,Kuah Rasa Baso Sapi Rice Noodles,Pack,Indonesia,3
Itsuki,Kumamoto Spicy Ramen,Pack,Japan,4.25
Kimura,Kumamoto Tonkotsu Ramen,Pack,Japan,5
Sapporo Ichiban,Kun Ramen Sumo-kuchikin (Smoked Chicken),Bowl,Japan,3
Saigon Ve Wong,Kung Fu Artificial Beef Rice Noodle,Pack,Vietnam,4.25
Ve Wong,Kung Fu Artificial Mushroom Pork,Bowl,Taiwan,1.25
Saigon Ve Wong,Kung Fu Artificial Pork Flavor,Bowl,Vietnam,3
Ve Wong,Kung Fu Artificial Sesame Chicken,Bowl,Taiwan,3.75
Saigon Ve Wong,Kung Fu Instant Rice Noodles Artificial Chicken,Pack,Vietnam,3.5
Ve Wong,Kung Fu Shrimp,Bowl,Taiwan,4
Saigon Ve Wong,Kung Fu Suc Song Artificial Pork,Bowl,Vietnam,3
Four Seas,Kung Tak Lam Vegetarian Noodle (Mushroom),Pack,Hong Kong,3
Ve Wong,Kung-Fu Brand Instant Oriental Noodle Soup Artificial Beef Flavor,Pack,Taiwan,3.75
Marutai,Kuroma-Yu Tonkotsu Kumamoto Ramen,Pack,Japan,4
Lucky Me!,La Paz Batchoy Beef,Pack,Philippines,2.5
Myojo,La Ramen Spicy Lobster Hot Pot Flavour Big Bowl,Bowl,Singapore,4.75
Ibumie,LadMee Hot Pepper,Pack,Malaysia,3.5
Koka,Laksa Singapura,Pack,Singapore,4.25
Mama Pat's,Lamb Stew Flavor Instant Ramen Noodles,Pack,USA,3.75
Nissin,Lamen Sabor Frango Assado Com Toque De Limao,Pack,Brazil,4.5
Mum Ngon,Lau Tom Chua Cay,Pack,Vietnam,3.5
Thien Houng Foods,Lemon Chicken Flavour Instant Noodles,Pack,Vietnam,3
Thai Kitchen,Lemongrass Chili Rice Noodle,Pack,USA,1.5
Koyo,Lemongrass ginger,Pack,USA,1.5
Tropicana Slim,Less Fat Noodles Grilled Chicken,Pack,Indonesia,3.75
Good Tto Leu Foods,Lightning Beef Bone Tteokguk Rice Cake Soup,Bowl,South Korea,4
Ve Wong,Little Prince Bacon,Pack,Vietnam,4.75
Lucky Me!,Lomi Seafood Vegetable,Pack,Philippines,0.5
Tropicana Slim,Low Fat Noodles Hainan Chicken,Pack,Indonesia,3.75
Vifon,MA GA TA Chua Cay Hot & Sour Chicken Flavor Instant Noodles,Pack,Vietnam,2
A-One,MA Ly Instant Noodles Shrimp Flavor,Cup,Vietnam,3.25
Samyang Foods,Maesaengyitangmyun Baked Noodle,Pack,South Korea,5
Maruchan,Magomi-an Kitsune Udon (Eastern Japan Flavor),Bowl,Japan,4.25
Samyang Foods,Mala Buldak Bokkeummyun,Pack,South Korea,3.75
ORee Garden,Malaysia Green Curry Noodle,Bowl,Malaysia,5
MyOri,Malaysia Penang Green Curry Rice Vermicelli,Pack,Malaysia,5
Mr. Udon,Malaysian Beef Udon,Pack,South Korea,3
Mama,Mamy Chand Clear Soup,Pack,Thailand,2.75
Uni-President,Man Han Feast Braised Pork Flavor Instant Noodles,Bowl,Taiwan,5
Unif,Man Han Feast Sichuan Chilli Eel Flavor,Bowl,Taiwan,5
Uni-President,Man Han Feast Spicy Beef Flavor Instant Noodles,Bowl,Taiwan,5
Unif,Man Han Feast Spring Onion Eel,Bowl,Taiwan,4.25
Uni-President,Man Han Feast Super Hot Pot Beef Flavor Instant Noodles,Bowl,Taiwan,5
Ching's Secret,Manchurian Instant Noodles,Pack,India,3.5
TRDP,Mario Masala Noodles,Pack,India,3.75
Acecook,Maru Uma Curry Udon,Cup,Japan,3.5
Maggi,Masala Dumdaar Noodles,Pack,India,3.75
Nissin,Maxi Sopa Nissin Cuchareable Sabor A Camaron Picante,Cup,Mexico,3
Kuriki,Mayo Ramen,Pack,Japan,4.75
Indomie,Meatball Flavor,Pack,Indonesia,2.5
Ibumie,Mee Baa..Gus Mi Goreng Spicier Original Flavour,Pack,Malaysia,3.75
Myojo,Mee Goreng,Pack,Singapore,4
Dragonfly,Mee Goreng Dry Ramen Noodles,Pack,China,3.75
Myojo,Mee Goreng Original Flavour,Pack,Singapore,4
MyKuali,MeeKuali Bihun Sup Rempah Perisa Daging,Pack,Malaysia,5
Myojo,Men Black Seafood Tonkotsu,Bowl,Japan,3.5
Nissin,Men Shokunin Kaoruyasai Shio,Bowl,Japan,5
Myojo,MenWhite Creamy Tonkotsu,Bowl,Japan,3
ABC,Mi ABC Rasa Ayam Bawang (Onion Chicken),Pack,Indonesia,4
Adabi,Mi Bandung Prawn Mee,Pack,Malaysia,4.25
Binh Tay,Mi Chay Mushroom,Pack,Vietnam,2.75
Sunny Maid,Mi Chay Vegetarian,Pack,Taiwan,1.75
ABC,Mi Cup Rasa Kari Ayam Chicken Curry Flavour,Cup,Indonesia,3.75
Indomie,Mi Goreng,Pack,Indonesia,5
Salam Mie,Mi Goreng Ala Jawa Dengan Sambal Cabe Asli,Pack,Indonesia,5
Indomie,Mi Goreng Barbecue Chicken,Pack,Indonesia,5
IbuRamen,Mi Goreng Bento Noodles In A Box Curry Masala Flavour,Tray,USA,4
Indomie,Mi Goreng Cabe Ijo,Pack,Indonesia,4.5
Salam Mie,Mi Goreng Dengan Abon,Pack,Indonesia,4.25
World O' Noodle,Mi Goreng Garlic Flavour Fried Noodles,Pack,Indonesia,4.5
Indomie,Mi Goreng Instant Cup Noodles,Cup,Indonesia,5
World O' Noodle,Mi Goreng Original Flavour Fried Noodles,Pack,Indonesia,5
ABC,Mi Goreng Pangsit Fried Noodle With Dumpling,Pack,Indonesia,5
Vit's,Mi goreng Pedas Chewy & springy,Pack,Malaysia,3.5
Indomie,Mi Goreng Pedas Hot,Pack,Indonesia,4.5
Maggi,Mi Goreng Perencah Kari Ori,Pack,Malaysia,4
Mi Sedaap,Mi Goreng Perisa Asli,Pack,Indonesia,4.75
President,Mi Goreng Rasa Ayam Chicken Flavoured Fried Noodle,Pack,Indonesia,4.5
Indomie,Mi Goreng Rasa Ayam Panggang Jumbo (Local),Pack,Indonesia,5
Bon Go Jang,Tofu Udon Dosirak,Tray,South Korea,3.75
Tablemark,Tohokuno Aji Yonezawa Ramen,Bowl,Japan,4
Tokushima Seifun,Tokushima Ramen,Pack,Japan,4
Yamachan,Tokyo Shoyu Ramen,Pack,USA,5
Nissin,Tokyo Tokunou Gyokai Tonkotsu,Bowl,Japan,5
Fashion Foods,Tom Klong,Bowl,Thailand,2
Ruski,Tom Yam Flavour Instant Noodles,Pack,Thailand,4
Vit's,Tom Yam Instant Noodles,Pack,Malaysia,4.25
Six Fortune,Tom Yam Instant soup Noodle,Pack,South Korea,2.75
Mama,Tom Yam Koong Rice Vermicelli,Pack,Thailand,1.5
Yamamori,Tom Yam Prawn,Pack,Japan,4.5
Paldo,Soy Flavor Noodle,Pack,South Korea,4.25
Yamamori,Tom Yam Ramen Pork,Pack,Japan,4.75
Fuku,Tom Yam Soup Instant Noodle,Pack,Hong Kong,2.3
GreeNoodle,Tom Yum,Pack,Thailand,0.5
Wai Wai,Tom Yum Chili Flavor,Pack,Thailand,2
Koka,Tom Yum Rice Noodles,Bowl,Singapore,3.5
Fashion Food,Tom Yum Seafood Creamy,Bowl,Thailand,2
Mee Jang,Tom Yum Shrimp,Bowl,Thailand,3.5
Wai Wai,Tom Yum Shrimp Cream Soup,Pack,Thailand,2.75
Fashion Food,Tom Yum Shrimp Creamy Flavour Instant Noodles,Bowl,Thailand,4
Wai Wai,Tom Yum Shrimp Flavour,Pack,Thailand,3.25
Sunlee,Tom Yum Shrimp Noodle,Bowl,Thailand,3.5
Koka,Tomato,Pack,Singapore,4.75
Sapporo Ichiban,Tomato & Basil Shio Ramen,Pack,Japan,4
Wugudaochang,Tomato Beef Brisket Flavor Purple Potato Noodle,Pack,China,5
Master Kong,Tomato Sauce Instant Noodle,Pack,China,4.5
Snapdragon,Tomato Seafood Rice Noodle,Cup,Singapore,3.5
Wei Chuan,Tomato Vegetables,Pack,Taiwan,4
Dream Kitchen,Tonkotsu,Cup,USA,3
Higashimaru,Tonkotsu Ramen,Pack,Japan,4.5
Sapporo Ichiban,Tonkotsu Ramen Artificially Flavored Tonkotsu White Chicken Broth,Pack,USA,5
Kumamoto,Tonkotsu Ramen MEGA Dragon,Pack,Japan,2.5
Yamachan,Tonkotsu-Shoyu Rich Pork Flavor Ramen,Pack,USA,4.75
Pot Noodle,Tony's Doner Kebab,Cup,UK,1.5
Happy Cook,Toona Paste Noodle,Pack,Taiwan,4
Nissin,Top Ramen Atta Nooldes Masala,Pack,India,4.5
Xiao Ban Mian,Traditional Shallot & Onion Oil Noodle,Pack,Taiwan,5
Tiger Tiger,Traveller's Choice Indian Tikka Masala Flavour,Pack,UK,3
New Touch,T's Restaurant Sura Tanmen,Cup,Japan,4
Nongshim,Tteokgukmyun,Pack,South Korea,4.25
Vifon,Tu quy Chicken,Pack,Vietnam,3
Ishimaru,Tuna Flavor Ramen,Pack,Japan,4.5
Oni Hot Pot,Tuna With Shallot Flavor Noodle,Pack,Taiwan,4.3
Little Cook,TVP Curry Chicken,Bowl,Thailand,4
Nissin,U.F.O. Yakiosoba,Bowl,Japan,3.75
Nongshim,Udon,Pack,South Korea,4
Fortune,Udon Beef,Pack,USA,3.5
Myojo,Udon Chicken,Pack,Japan,3.75
Nongshim,Udon Garlic Teriyaki,Pack,South Korea,4.75
Myojo,Udon Hot & Spicy,Pack,Japan,4.5
Dream Kitchen,Udon Japanese Style Fresh Noodle,Bowl,USA,3.75
Myojo,Udon Japanese Style Noodles With Soup Base Hot & Sour Flavor,Pack,USA,3.75
Sugakiya Foods,Udon Miso Stew,Pack,Japan,3.25
Fortune,Udon Mushroom,Pack,USA,3
iNoodle,Udon Noodle Soup Oriental,Pack,Taiwan,3.75
Myojo,Udon Shrimp,Pack,Japan,3.75
Six Fortune,U-Dong,Pack,South Korea,4
Nissin,UFO Yakisoba With Wasabi Mayonnaise,Bowl,Japan,5
Samurai Ramen,Umami Ramen,Pack,Japan,4
Unif,Unif-100 Instant Noodles Artificial Tart Beef Flavor,Pack,China,3
Mom's Dry Noodle,Vegan Chilli With Sesame Sauce,Pack,Taiwan,5
Dr. McDougall's,Vegan Pad Thai Noodle Soup,Cup,USA,0
Ibumie,VegeMee Vegetarian Flavour,Pack,Malaysia,2.75
Gefen,Vegetable,Pack,USA,3.25
Maggi,Vegetable Atta Noodles Masala,Pack,India,2
Smack,Vegetable Beef,Pack,USA,1.5
Happy Family,Vegetable Flavour Instant Noodles,Pack,Singapore,4
Great Value,Vegetable Flavour Noodles With Vegetables,Cup,Canada,3
Tradition,Vegetable Instant Noodle soup,Cup,USA,3.25
Little Cook,Vegetarian,Cup,Thailand,3.25
Sakurai,Vegetarian Flavor,Pack,Japan,3.5
Great Value,Vegetarian Flavour Ramen Noodles,Pack,Canada,3
Maitri,Vegetarian Fried Noodles (Mie Goreng),Pack,Indonesia,4
A1,Vegetarian Herbal Noodle,Pack,Malaysia,1.5
Mama,Vegetarian Instant Cup Noodle Tofu & Shiitake Flavour,Cup,Thailand,3.5
Hao Way,Vegetarian Penang Laksa,Pack,Malaysia,4
Nyor Nyar,Vegetarian Penang White Curry,Pack,Malaysia,5
Nan Hsing,Vegetarian Rice Noodles,Bowl,Taiwan,0.25
Kim's Bowl,Vegetarian Tom Yum,Bowl,Thailand,3.5
Ten-In,Veggie King Buddha Jump Instant Noodles,Bowl,Taiwan,1.5
A-Sha Dry Noodle,Veggie Noodle Baby Grass Noodle With Toona Sauce,Pack,Taiwan,5
Ten-In,Veggie World Vegetarian Braised Beef Instant Noodles,Bowl,Taiwan,3.5
Tayho,Vermicelli With Pork,Bowl,USA,1.25
Vifon,Viet Cuisine Bun Rieu Cua Sour Crab Soup Instant Rice Vermicelli,Bowl,Vietnam,5
Nissin,Vietnamese Chicken Coriander Flavour Vermicelli,Cup,Hong Kong,4
Paldo,Volcano Curry Kkokkomyun,Pack,South Korea,3.5
Vedan,Volcano Spicy Pork Noodle,Bowl,Taiwan,4.25
Myojo,Wantan Men,Bowl,Japan,5
Mr. Lee's Noodles,Warrior Fighting Shrimp,Cup,UK,3.3
